metric,value
test/c2st/acc,0.6252500000000001
test/c2st/auc,0.6621725591703741
test/c2st/gene_acc,0.6485
test/c2st/gene_auc,0.7000641596712596
test/c2st/nn,0.30415000000000003
test/c2st/nn_flip,0.0655
test/c2st/nn_real_ref,0.46720000000000006
test/c2st/nn_std,0.1587065767383318
test/c2st/pos_acc,0.56325
test/ct/acc,0.557504873294347
test/ct/acc_gap,0.38470370370370377
test/ct/acc_gen,0.2962962962962963
test/ct/acc_real,0.681
test/ct/f1,0.5272572309572184
test/ct/prop_jsd,0.010292884950145622
test/ct/prop_kl,0.04518476815247033
test/ct/prop_tv,0.12085769980506825
test/mmd2/pos,0.03807210922241211
test/mmd2/x,0.01400136947631836
test/moran/corr,0.9918713887478204
test/moran/gen_mean,0.5210271214072615
test/moran/mae,0.030547162927930763
test/moran/real_mean,0.5114030329518944
test/ot_w1/pos,0.27032859582373975
test/ot_w1/x,1.4962277908287915
test/ot_w2/pos,0.3313955915085632
test/ot_w2/x,2.0032183223792424
test/psd/max,0.22814276068972802
test/psd/mean,0.019641942984786512
test/recon/mse_gap,0.19538092613220215
test/recon/mse_gen,2.7807164192199707
test/recon/mse_real,2.976097345352173
test/spd/max,0.2500280792370628
test/spd/mean,0.013958679702375895
