metric,value
test/c2st/acc,0.9289999999999999
test/c2st/auc,0.9797232739846248
test/c2st/gene_acc,0.93875
test/c2st/gene_auc,0.9845463120254013
test/c2st/nn,0.025700000000000004
test/c2st/nn_flip,0.0
test/c2st/nn_real_ref,0.9895499999999999
test/c2st/nn_std,0.05629840139826353
test/c2st/pos_acc,0.70275
test/ct/acc,0.25925925925925924
test/ct/acc_gap,0.35998050682261207
test/ct/acc_gen,0.2300194931773879
test/ct/acc_real,0.59
test/ct/f1,0.25547914184790776
test/ct/prop_jsd,0.011820455662630182
test/ct/prop_kl,0.16011494127929535
test/ct/prop_tv,0.0935672514619883
test/mmd2/pos,0.017537593841552734
test/mmd2/x,0.030669689178466797
test/moran/corr,0.6882053456477514
test/moran/gen_mean,0.08183420767948929
test/moran/mae,0.1237905939671632
test/moran/real_mean,0.18868141448327908
test/ot_w1/pos,0.29542882498497763
test/ot_w1/x,7.250883259773272
test/ot_w2/pos,0.349965631123845
test/ot_w2/x,7.343338405551412
test/psd/max,0.4938581802427847
test/psd/mean,0.024933532870812607
test/recon/mse_gap,0.005127251148223877
test/recon/mse_gen,0.8807200789451599
test/recon/mse_real,0.875592827796936
test/spd/max,0.8844905662659416
test/spd/mean,0.05900344198485056
